symbol,pattern,entry_date,exit_date,pnl_pct,pnl_dollars,capital_after,shares,entry_price
WSM,Falling Wedge,2024-06-18 04:00:00+00:00,2024-07-01 04:00:00+00:00,-8.199999999999998,-81.19522505210598,4869.733131783626,6.782274515359841,145.99610633935112
CTAS,Falling Wedge,2024-06-18 04:00:00+00:00,2024-06-20 04:00:00+00:00,2.85586786048914,28.27839434774295,4898.011526131369,5.884792524027416,168.26178107796505
CL,Falling Wedge,2024-06-18 04:00:00+00:00,2024-06-24 04:00:00+00:00,3.8318110382355623,37.942043854473226,4935.953569985842,11.06921007046918,89.45405002374991
CPAY,Falling Wedge,2024-06-18 04:00:00+00:00,2024-06-20 04:00:00+00:00,4.376791589808609,43.33836318788718,4979.2919331737285,3.9649118444808336,249.73712158203145
ECL,Ascending Triangle,2024-06-18 04:00:00+00:00,2024-06-20 04:00:00+00:00,3.685866144794328,36.496918431526076,5015.788851605254,4.304726375648657,230.02290621037224
NTRS,Falling Wedge,2024-07-02 04:00:00+00:00,2024-07-11 04:00:00+00:00,4.52770329684677,45.42000743940077,5061.208859044656,12.706358346410028,78.9492742902593
DG,Falling Wedge,2024-07-02 04:00:00+00:00,2024-07-12 04:00:00+00:00,5.56841498152328,55.85998757087229,5117.068846615528,8.214496511604949,122.1204207590629
EW,Falling Wedge,2024-07-02 04:00:00+00:00,2024-07-03 04:00:00+00:00,3.521491834381056,35.32611896781487,5152.394965583343,11.547843726741254,86.86970434125689
EXPE,Channel Breakout,2024-07-02 04:00:00+00:00,2024-07-10 04:00:00+00:00,7.556037644142193,75.7989787555961,5228.193944338939,8.437441343287745,118.89359931599348
FFIV,Falling Wedge,2024-07-02 04:00:00+00:00,2024-07-12 04:00:00+00:00,3.7182273981346112,37.299687062593584,5265.493631401533,5.963192279384481,168.22495792884217
AXON,Ascending Triangle,2024-07-16 04:00:00+00:00,2024-07-17 04:00:00+00:00,4.620702109453664,48.6605550598638,5314.154186461397,3.4789604397355176,302.7050018310547
AJG,Double Top Breakout,2024-07-16 04:00:00+00:00,2024-07-17 04:00:00+00:00,3.331380315385402,35.08272366887653,5349.236910130274,4.088233390701056,257.5926141290382
ADM,Falling Wedge,2024-07-16 04:00:00+00:00,2024-07-17 04:00:00+00:00,4.133608076537105,43.530974003432135,5392.767884133706,18.335693960312,57.43435337433976
AOS,Double Bottom,2024-07-16 04:00:00+00:00,2024-07-23 04:00:00+00:00,-4.384401816999717,-46.172079689834646,5346.595804443871,12.87358334440788,81.80307674302348
AMP,Falling Wedge,2024-07-16 04:00:00+00:00,2024-07-17 04:00:00+00:00,-2.686141651972436,-28.287723523006512,5318.308080920865,2.474130991622332,425.643884598758
