idx,symbol,date,detected,classification,quality_score,convergence_ratio,convergence_pct,up_slope,lo_slope,upper_descending,lower_descending,converging,n_peaks,n_troughs,n_touch,duration,price_change_pct,pnl_pct,chart
66,TJX,2026-08-11 04:00:00+00:00,True,CLEARLY_VALID,6.0,0.021390448502558758,97.86095514974413,-0.24924958199869746,0.2481923431919091,True,False,True,6.0,6.0,12.0,56.0,-0.019071903417091113,-0.7103714883221826,wedge_audit/wedge_066_TJX.png
67,COR,2025-07-01 04:00:00+00:00,True,CLEARLY_VALID,7.0,0.23841468811289923,76.15853118871007,-0.31823262308563405,-0.0722116216552127,True,True,True,11.0,10.0,21.0,104.0,-6.62872499923835,2.947291418378162,wedge_audit/wedge_067_COR.png
68,CL,2025-05-20 04:00:00+00:00,True,CLEARLY_VALID,7.0,0.2915636960656606,70.84363039343393,-0.16954317677131395,-0.005422248402589868,True,True,True,4.0,5.0,9.0,50.0,-4.788556236570727,-2.576433189302741,wedge_audit/wedge_068_CL.png
69,EXPD,2023-12-05 05:00:00+00:00,True,CLEARLY_VALID,6.0,0.23851388299393747,76.14861170060625,-0.06128475187864808,0.06150888152402572,True,False,True,12.0,12.0,24.0,108.0,0.010942571832619152,4.945717796944067,wedge_audit/wedge_069_EXPD.png
70,CHTR,2025-03-11 04:00:00+00:00,True,CLEARLY_VALID,6.0,0.07681568681067315,92.31843131893268,-0.5891717844721266,0.4757405975718545,True,False,True,4.0,10.0,14.0,62.0,-0.9833253714898361,-1.83499922245477,wedge_audit/wedge_070_CHTR.png
71,PPG,2023-01-17 05:00:00+00:00,True,CLEARLY_VALID,7.0,0.2622402919336509,73.77597080663492,-0.2609714882001942,-0.09084083398581125,True,True,True,7.0,8.0,15.0,70.0,-9.681621593465541,4.779847409040092,wedge_audit/wedge_071_PPG.png
72,GPC,2025-12-16 05:00:00+00:00,True,CLEARLY_VALID,6.0,0.01923652986876533,98.07634701312347,-0.16573155242159912,0.20991785652361927,True,False,True,5.0,6.0,11.0,52.0,0.9282872271872571,-0.6057377644515849,wedge_audit/wedge_072_GPC.png
73,TXN,2022-03-15 04:00:00+00:00,True,CLEARLY_VALID,7.0,0.17490893147837283,82.50910685216272,-0.6523492566202519,-0.17652586191106873,True,True,True,5.0,6.0,11.0,33.0,-8.776442805265749,6.586364024782629,wedge_audit/wedge_073_TXN.png
74,HD,2022-02-01 05:00:00+00:00,True,CLEARLY_VALID,5.5,0.34245122358205626,65.75487764179438,-2.6210572694465344,-1.3192744787052104,True,True,True,2.0,3.0,5.0,20.0,-11.176462206055334,-4.607340106251446,wedge_audit/wedge_074_HD.png
75,JKHY,2025-09-09 04:00:00+00:00,True,CLEARLY_VALID,6.0,0.0510256681524831,94.89743318475169,-0.5049389495532907,0.11148551837996278,True,False,True,6.0,8.0,14.0,53.0,-6.163444071372371,-0.2932479824372695,wedge_audit/wedge_075_JKHY.png
76,EXPD,2023-04-25 04:00:00+00:00,True,CLEARLY_VALID,5.0,0.45258470067516815,54.74152993248318,-0.04947519936274641,0.02293110097294135,True,False,True,11.0,10.0,21.0,109.0,-1.3807644944547304,-3.257208420779286,wedge_audit/wedge_076_EXPD.png
77,IVZ,2026-04-21 04:00:00+00:00,True,CLEARLY_VALID,7.0,0.22217201340914638,77.78279865908536,-0.07126517678410668,-0.002737825781204605,True,True,True,8.0,11.0,19.0,73.0,-10.472962754324978,8.302072276208149,wedge_audit/wedge_077_IVZ.png
78,EOG,2023-07-18 04:00:00+00:00,True,CLEARLY_VALID,6.0,0.2699329925593912,73.00670074406088,-0.10171423261183907,0.06000151223442063,True,False,True,4.0,5.0,9.0,54.0,-1.1225183970431387,5.926096764662478,wedge_audit/wedge_078_EOG.png
79,PAYX,2022-03-29 04:00:00+00:00,True,CLEARLY_VALID,5.0,0.6860577012949098,31.394229870509015,-0.17239745643891183,-0.1282273212592371,True,True,True,7.0,10.0,17.0,108.0,-13.79642201841152,6.140892972091212,wedge_audit/wedge_079_PAYX.png
80,GOOG,2023-04-11 04:00:00+00:00,True,CLEARLY_VALID,6.0,0.11628393203292396,88.3716067967076,-0.03145548291157718,0.2671392432606453,True,False,True,5.0,5.0,10.0,54.0,6.815857355819886,9.048852426863634,wedge_audit/wedge_080_GOOG.png
81,DGX,2022-05-24 04:00:00+00:00,True,CLEARLY_VALID,6.0,0.48049986738681155,51.95001326131885,-0.1667655228433443,-0.05544915280260566,True,True,True,6.0,7.0,13.0,56.0,-4.790172836903668,4.734677740789557,wedge_audit/wedge_081_DGX.png
82,CPAY,2024-07-02 04:00:00+00:00,True,BORDERLINE,3.0,2.0959200545379293,-109.59200545379292,-1.1333696687142862,-1.4297671427140637,True,True,False,4.0,6.0,10.0,47.0,-19.800638574977416,5.188993062412925,wedge_audit/wedge_082_CPAY.png
83,TRGP,2025-07-01 04:00:00+00:00,True,CLEARLY_VALID,6.0,0.28272193383635225,71.72780661636477,-0.09543635649737822,0.21508856977758647,True,False,True,8.0,6.0,14.0,67.0,2.537318290077218,-5.121606661265184,wedge_audit/wedge_083_TRGP.png
84,TER,2023-12-05 05:00:00+00:00,True,CLEARLY_VALID,5.0,0.6850982817527093,31.490171824729075,-0.19381412409947152,-0.14611012337851648,True,True,True,8.0,7.0,15.0,65.0,-11.288147672686339,5.130289789882557,wedge_audit/wedge_084_TER.png
85,AZO,2022-10-11 04:00:00+00:00,True,CLEARLY_VALID,6.0,0.49052157390246837,50.94784260975316,-2.912447090028593,-0.7579583423019642,True,True,True,7.0,5.0,12.0,74.0,-5.981759790866843,5.621145558579195,wedge_audit/wedge_085_AZO.png
86,ED,2023-11-21 05:00:00+00:00,True,CLEARLY_INVALID,1.0,1.0677603678074934,-6.776036780749339,0.16143141325498833,0.1509247475033417,False,False,False,4.0,5.0,9.0,25.0,4.946588494914052,1.914221038793498,wedge_audit/wedge_086_ED.png
87,PANW,2023-11-21 05:00:00+00:00,True,PROBABLY_VALID,4.0,0.651897510598101,34.8102489401899,-0.02454898338419263,0.0626874391840993,True,False,True,8.0,8.0,16.0,70.0,1.092418263789733,8.6005109856132,wedge_audit/wedge_087_PANW.png
88,VRTX,2023-03-14 04:00:00+00:00,True,CLEARLY_VALID,7.0,0.036104704654287126,96.38952953457128,-1.3174437329285182,-0.3781249301457449,True,True,True,3.0,4.0,7.0,29.0,-8.00295727179214,4.967581797329781,wedge_audit/wedge_088_VRTX.png
89,ED,2025-09-23 04:00:00+00:00,True,CLEARLY_VALID,7.0,0.2634020935142686,73.65979064857314,-0.2943295218419145,-0.2175806807432484,True,True,True,9.0,9.0,18.0,69.0,-16.13640152883224,2.2965740709513858,wedge_audit/wedge_089_ED.png
90,KMI,2023-06-20 04:00:00+00:00,True,CLEARLY_VALID,6.0,0.2488722168705549,75.1127783129445,-0.009543512682787747,0.009298344657345926,True,False,True,5.0,5.0,10.0,53.0,-0.045580055264206366,-2.424804386871809,wedge_audit/wedge_090_KMI.png
91,HLT,2025-12-02 05:00:00+00:00,True,CLEARLY_VALID,5.0,0.45962930486226256,54.03706951377374,-0.01575021865723052,0.20991641666676297,True,False,True,6.0,9.0,15.0,70.0,2.5928236441173484,4.770757313256836,wedge_audit/wedge_091_HLT.png
92,RVTY,2025-10-21 04:00:00+00:00,True,CLEARLY_VALID,6.0,0.20422612368930138,79.57738763106987,-0.03621344587526477,0.25496347578672446,True,False,True,3.0,5.0,8.0,41.0,5.2406351545192695,8.186952298307157,wedge_audit/wedge_092_RVTY.png
93,F,2025-08-12 04:00:00+00:00,True,CLEARLY_VALID,6.0,0.08654091329550921,91.34590867044908,-0.032008059556946085,0.012985465378004022,True,False,True,3.0,3.0,6.0,27.0,-2.407020633091754,6.331885639737391,wedge_audit/wedge_093_F.png
94,ETN,2022-03-01 05:00:00+00:00,True,CLEARLY_VALID,7.0,0.24429386122491492,75.5706138775085,-0.6223596615605842,-0.355313404644805,True,True,True,9.0,10.0,19.0,76.0,-21.33422943978987,-5.540278103806068,wedge_audit/wedge_094_ETN.png
95,LIN,2025-05-20 04:00:00+00:00,True,CLEARLY_VALID,6.0,0.29522842327809984,70.47715767219002,-0.6040408046565412,0.10301569277157023,True,False,True,4.0,5.0,9.0,32.0,-1.7965030671949582,3.618961479345131,wedge_audit/wedge_095_LIN.png
96,MAA,2025-07-01 04:00:00+00:00,True,CLEARLY_VALID,7.0,0.11785646567682041,88.21435343231796,-0.5214750576628482,-0.291335071653753,True,True,True,6.0,4.0,10.0,52.0,-13.34372732943406,4.895318131389064,wedge_audit/wedge_096_MAA.png
97,HSIC,2022-11-08 05:00:00+00:00,True,CLEARLY_VALID,6.0,0.2593824342456715,74.06175657543285,-0.05507328932770141,0.06785060609241268,True,False,True,10.0,12.0,22.0,111.0,1.032621950624615,6.834814984618601,wedge_audit/wedge_097_HSIC.png
98,MU,2024-12-17 05:00:00+00:00,True,CLEARLY_VALID,6.0,0.46305138914769567,53.69486108523043,-0.2190000398076187,-0.06893714371022513,True,True,True,7.0,8.0,15.0,66.0,-8.711118697046912,-7.999999999999999,wedge_audit/wedge_098_MU.png
99,ORCL,2026-01-13 05:00:00+00:00,True,CLEARLY_VALID,5.0,0.42186114770438354,57.81388522956165,-0.5966328431567055,0.010829893139721828,True,False,True,5.0,3.0,8.0,35.0,-5.141238289804437,-5.861385635926586,wedge_audit/wedge_099_ORCL.png
